"";"x"
"CCL2";23
"TSPAN1";23
"SPINK1";23
"SMIM22";23
"FCGBP";23
"CCL13";23
"MDK";23
"CLDN4";23
"CCL19";23
"GSTT1";23
"TNFRSF4";24
"GEM";24
"TNFRSF18";24
"HES4";24
"ISG15";24
"ENTPD1";24
"RORA";24
"GAPDH";24
"PTMS";24
"SLA";24
"LAYN";24
"CRIP1";24
"RNF19A";24
"TPM4";24
"ERRFI1";24
"TGIF1";24
"YWHAQ";24
"SLC7A5";24
"C16orf80";24
"ENO1";24
"SLC1A5";24
"ODC1";24
"ZDBF2";24
"IL12RB1";24
"YWHAH";24
"CRADD";24
"PDCL3";24
"PDE4B";24
"MAP1LC3A";24
"TANK";24
"FAM89B";24
"SETD7";24
"HIVEP3";24
"PLAGL1";24
"ARHGEF12";24
"STAM";24
"BACH1";24
"BLM";24
"ATOX1";24
"PHPT1";24
"AKIRIN2";24
"INPP1";24
"DYNLL1";24
"GSPT1";24
"HSPA6";25
"7SK.2";25
"DEFA5";25
"REG3A";25
"SESN1";25
"DEFA6";25
"REG1A";25
"AIM1";25
"PLEKHF1";25
"SNTB2";25
"RP11-553L6.2";25
"GIMAP6";25
"IPCEF1";25
"ARID5A";25
"RASA1";25
"SLAMF6";25
"ZFP36";26
"ID2";26
"KLRB1";26
"ZNF331";26
"NR4A2";26
"B3GNT7";26
"SRGN";26
"REL";26
"RP6-91H8.3";26
"GPR65";26
"ITM2C";26
"DUSP10";26
"NCR3";26
"IFNGR1";26
"FAM177A1";26
"RANBP2";26
"SLC16A3";26
"FOSL2";26
"METRNL";26
"GATA3";26
"LMO4";26
"HSH2D";26
"RUNX3";26
"HIC1";26
"RHOBTB3";26
"SYAP1";26
"RP11-489E7.4";26
"DHRS3";26
"PDE4A";26
"SKAP2";26
"NBL1";26
"NFE2L2";26
"FSD1";26
"ATP8B4";26
"ORAI2";26
"SPECC1";26
"HDGFRP3";26
"ABHD15";26
"NUDT14";26
"CD151";26
"HIP1";26
"MPST";26
"ASL";26
"ST3GAL1";26
"TNF";27
"EGR2";27
"GPR171";27
"ITGA1";27
"GFPT2";27
"GPR34";27
"PTGER2";27
"DAPK2";27
"MSH3";27
"SYTL2";27
"F2R";27
"IL18RAP";27
"CA10";27
"ANKRD32";27
"PELO";27
"ARHGAP18";27
"CPD";27
"LTB";28
"IL7R";28
"CD52";28
"C12orf57";28
"RPL34";28
"RPLP1";28
"AC013264.2";28
"RPS12";28
"MAL";28
"RPS8";28
"AQP3";28
"RPS2";28
"RPS18";28
"RPS6";28
"MX2";28
"RPL7";28
"PKIA";28
"PPA1";28
"TPT1";28
"FAM134B";28
"SPINT2";28
"RPS3A";28
"IMPDH2";28
"SLC40A1";28
"LGALS3BP";28
"FOXP1";28
"FLT3LG";28
"LDHB";28
"IFNGR2";28
"RPL21";28
"FGFBP2";29
"IFIT2";29
"MYOM2";29
"VCAM1";29
"IFIT3";29
"TIMD4";29
"KLRG1";29
"AOC1";29
"AKR1C3";29
"VIPR2";29
"IFIT1";29
"KNOP1";29
"OASL";29
"SH3BP5";29
"RP11-357H14.17";29
"NSRP1";29
"PATL2";29
"IFNG-AS1";29
"NAPSA";29
"WBP4";29
"RSAD2";29
"LINC00324";29
"ENTPD3-AS1";29
"PMEPA1";29
"LMLN";29
"KIAA1009";29
"CCDC146";29
"ENC1";29
"USP18";29
"FAM188A";29
"DNAJA4";29
"RP5-1142A6.8";29
"PDLIM7";29
"RP11-305L7.3";29
"CCL28";29
"RAB7L1";29
"SYNM";29
"SYCP2";29
"SAP30";29
"WBP2NL";29
"USP40";29
"ZNF611";29
"HRASLS2";29
"ZNF354A";29
"DHX33";29
"DDX60";29
"LINC00662";29
"RP11-108M9.4";29
"ZFAT";29
"LIPE-AS1";29
"ZRSR2";29
"TTL";29
"HMGA1P4";29
"HIST1H2AM";29
"DNASE1";29
"RP11-108M9.6";29
"RP11-544A12.8";29
"DRAXIN";29
"CMPK2";29
"METRN";29
"BRD7";29
"KCNMB1";29
"ZNF16";29
"SEC14L6";29
"TXLNA";29
"RASSF4";29
"GLRX2";29
"XXbac-BPGBPG55C20.2";29
"TRERF1";29
"ZBTB37";29
"TPM1";29
"RP11-195F19.5";29
"PRR11";29
"MNT";29
"CCND1";29
"MUC4";29
"RP11-499E18.1";29
"ZNF28";29
"PER3";29
"CEP89";29
"STK39";29
"RFC3";29
"HEATR5A";29
"ACO1";29
"POLA1";29
"EPHA1";29
"PPP1R12B";29
"EXD3";29
"SLC38A7";29
"NFATC2";29
"POLG2";29
"TBC1D22B";29
"RP5-886K2.3";29
"ZBED5";29
"RP13-188A5.1";29
"IFI27L1";29
"ZNF552";29
"SMIM11";29
"MTO1";29
"CENPL";29
"TRAK2";29
"TRAPPC5";29
"LSG1";29
"TGFBR2";29
"NVL";29
"XPNPEP3";29
"TIMM44";29
"CRNKL1";29
"TMEM234";29
"PUS10";29
"BRI3BP";29
"CTD-2017D11.1";29
"AGBL3";29
"SLC25A4";29
"RP11-325F22.2";29
"FAM98A";29
"C17orf75";29
"FAM175B";29
"SLC17A5";29
"SZT2";29
"PRKAB2";29
"NOL9";29
"ZNF790";29
"TCTEX1D2";29
"TTC32";29
"ZNF829";29
"ALKBH8";29
"BAG2";29
"VNN2";29
"C1orf61";29
"ZNF514";29
"LYPLAL1";29
"ZNF641";29
"TP53I11";29
"PHKA2";29
"KLF2";30
"MEST";30
"KLF3";30
"TAF4B";30
"SCML1";30
"CTD-2562J15.6";30
"ANKRD26";30
"TCF7";30
"BEX2";30
"BACH2";30
"KLF7";30
"OSM";31
"SOCS2";31
"CLNK";31
"HILPDA";31
"RP6-99M1.2";31
"RPGR";31
"TSPAN2";31
"VAV3";31
"ZNF667";31
"CTD-2035E11.3";31
"SMCR5";31
"KIAA0125";31
"STARD4";31
"MGLL";31
"RP11-425D10.10";31
"MZF1";31
"ZFY";31
"FN3K";31
"MAP9";31
"SQLE";31
"TOX";31
"ZNF660";31
"SBF2";31
"CETN2";31
"TWISTNB";31
"TCEAL3";31
"GUCY1A3";31
"CLN8";31
"CTD-2368P22.1";31
"WARS";31
"NCALD";31
"RDX";31
"BZRAP1-AS1";31
"C19orf83";31
"SPRYD7";31
"GZF1";31
"RNF122";31
"ING3";31
"GPR55";31
"INPP5B";31
"RP11-535A5.1";31
"ZNF844";31
"DOK7";31
"EIF5A2";31
"BIVM";31
"JARID2";31
"CLASP2";31
"AP001816.1";31
"ZNF677";31
"C19orf77";31
"ITGAM";31
"RUFY3";31
"RP11-1391J7.1";31
"TRIM54";31
"C10orf11";31
"SLC39A10";31
"MMD";31
"HIP1R";31
"PRKX";31
"CMIP";31
"ARMCX2";31
"ZNF35";31
"DYSF";31
"METTL7A";31
"KIFAP3";31
"SFXN5";31
"SMIM10";31
"CD27-AS1";31
"ATAD2B";31
"C20orf112";31
"PON2";31
"TTLL10";31
"MARCH3";31
"NUDT16";31
"DHRSX";31
"PRKCA";31
"PRKAR2B";31
"CD72";31
"CENPV";31
"SNTB1";31
"CTA-445C9.15";31
"FER";31
"EFHC1";31
"TLR1";31
"TSHZ1";31
"RP11-488L18.10";31
"ZNF853";31
"FOXO3";31
"PRCD";31
"ZSCAN18";31
"CENPJ";31
"ZNF652";31
"PEAK1";31
"LGALS9";31
"TIMM13";31
"SLC25A33";31
"IFNL1";31
"CCR7";32
"SELL";32
"FXYD2";32
"AIF1";32
"LEF1";32
"PCSK1N";32
"REG4";32
"C1orf162";32
"RP11-664D1.1";32
"CTSL";32
"TRABD2A";32
"NELL2";32
"ACTN1";32
"FHIT";32
"PADI4";32
"NOSIP";32
"FAM65B";32
"MARCKSL1";32
"LYPD3";32
"C14orf64";32
"RP1-187B23.1";32
"ADAMTS6";32
"RP11-18H21.1";32
"LDLRAP1";32
"CD248";32
"PLAG1";32
"AK5";32
"EPHA1-AS1";32
"BCL7A";32
"GCSAM";32
"PRKCQ-AS1";32
"NUCB2";32
"NOG";32
"RASGRP2";32
"RP11-11N9.4";32
"CSGALNACT1";32
"HEMGN";32
"HRH2";32
"STMN3";32
"LIMS2";32
"TCEA3";32
"RP11-861A13.4";32
"USP44";32
"LMO7";32
"ICA1L";32
"ITGA6";32
"S1PR1";32
"FCGRT";32
"CELA1";32
"SULT1B1";32
"MORC2";32
"PCSK5";32
"CTD-3184A7.4";32
"FABP5";33
"CHN1";33
"PLIN2";33
"CLU";33
"PPARG";33
"RP3-428L16.2";33
"SMCO4";33
"PKIG";33
"MSC";33
"NPDC1";33
"NTRK2";33
"RGS18";33
"PROK2";33
"RP11-23P13.6";33
"RCAN2";33
"CDCA7";33
"PTPN13";33
"NR1D1";33
"KIAA0319L";33
"CASS4";33
"HLF";33
"NCDN";33
"MCOLN2";33
"CCDC6";33
"CD226";33
"MPRIP";33
"STK24";33
"RP11-383H13.1";33
"UBXN10-AS1";33
"CD200";34
"MS4A6A";34
"ID3";34
"CHI3L2";34
"PASK";34
"TSHZ2";34
"SCGB3A1";34
"EPHB6";34
"NGFRAP1";34
"CD79A";34
"C1orf228";34
"PDCD1";34
"IL6ST";34
"LPAR6";34
"LY96";34
"CPA5";34
"POU2AF1";34
"BTLA";34
"FBXO32";34
"RP11-265P11.2";34
"PDE7B";34
"NFATC1";34
"TLR5";34
"CDCA7L";34
"CD84";34
"ANKRD55";34
"LINC00402";34
"SESN3";34
"SARDH";34
"CMTM8";34
"FBLN7";34
"TNFSF8";34
"RIC3";34
"EPHX2";34
"RP11-223C24.1";34
"ADD3";34
"INPP4B";34
"SERINC5";34
"MSL3";34
"SH3YL1";34
"RP11-358B23.5";34
"YPEL2";34
"GCNT2";34
"MANEA-AS1";34
"GCA";34
"SUSD4";34
"TESPA1";34
"PPP1CC";34
"GCNT4";34
"NFIA";34
"SEC14L2";34
"MDS2";34
"CDK5R1";34
"ZC3H8";34
"CHMP7";34
"COL6A3";34
"SNORA76";34
"TMEM63A";34
"RBM43";34
"EVI5";34
"ELMO1";34
"TJP2";34
"KIAA0226";34
"LYRM4";34
"SLC9A9";34
"ADPRM";34
"THEM4";34
"AGMAT";34
"ITGB2-AS1";34
"CBX1";34
"TNFRSF10A";34
"RP11-291B21.2";35
"CD8B";35
"ZNF683";35
"CD8A";35
"YBX3";35
"CLECL1";35
"LYAR";35
"ADRB1";35
"CD9";35
"RP4-539M6.22";35
"GPR18";35
"CARS";35
"DBN1";35
"RP11-589C21.6";35
"NUGGC";35
"IGFBP3";35
"SNN";35
"LILRB1";35
"TPRG1";35
"MT1F";35
"LINC00944";35
"NPM2";35
"MTFP1";35
"CD101";35
"PLEKHO1";35
"CCDC65";35
"TMEM200A";35
"DDX21";35
"RP11-347C12.1";35
"TGFBR3L";35
"SLC38A5";35
"RNF157";35
"EPN2";35
"PVRL3";35
"SPNS3";35
"NPIPB11";35
"RP11-713M15.1";35
"TXNIP";36
"EEF1A1";36
"FKBP5";36
"PDE3B";36
"EEF2";36
"HSPA8";36
"PIK3IP1";36
"KIAA1551";36
"C10orf54";36
"CD40LG";37
"ITM2A";37
"CD27";37
"TRAT1";37
"AP3M2";37
"GPR155";37
"CD3D";37
"CD6";37
"SIRPG";37
"ARL4C";37
"CLEC2D";37
"TRAF1";37
"THEMIS";37
"PAG1";37
"SIT1";37
"CAMK4";37
"CD3G";37
"TMEM154";37
"CD5";37
"HMGA1";37
"LINC00649";37
"GRAP2";37
"OLFM2";37
"KCNA3";37
"BCL11B";37
"CXCR6";38
"PKM";38
"PRDM1";38
"SMC4";38
"STAT1";38
"HPGD";38
"BCL2L11";38
"GBP2";38
"MIAT";38
"LAX1";38
"CXCR3";38
"GBP5";38
"GBP1";38
"MTHFD2";38
"RP11-347P5.1";38
"IKZF2";38
"FAM129A";38
"PGAM1";38
"ADA";38
"SYNE2";38
"CCR5";38
"BEND7";38
"C3AR1";38
"ANXA5";38
"PPP2R2B";38
"CAPN2";38
"ZBTB38";38
"PARP9";38
"ASXL2";38
"JAKMIP1";38
"APOL3";38
"IL10RA";38
"TSPAN5";38
"GALNT10";38
"ATP2B4";38
"ATXN1";38
"SAMHD1";38
"SP140";38
"CLIP1";38
"GPRIN3";38
"TRIM69";38
"CASP1";38
"RP11-403B2.6";39
"KIR3DL2";39
"FAM43A";39
"KIR2DL3";39
"TNFSF10";39
"MIR142";39
"AKAP5";39
"MIR181A2HG";39
"AC007349.7";39
"KIR2DL2";39
"LGALS9C";39
"APBA2";39
"LRMP";39
"STRBP";39
"PHLDB2";39
"GSG2";39
"RP11-769O8.1";39
"RP11-542M13.3";39
"CCDC28B";39
"LMNB1";39
"RP11-47L3.1";39
"UBASH3B";39
"CHST2";39
"CLEC12A";39
"FNDC3B";39
"ATP8A1";39
"RP11-973H7.1";39
"NMUR1";39
"KCTD10";39
"TLE4";39
"STARD9";39
"SCPEP1";39
"DDAH2";39
"ARSD";39
"CCRL2";39
"HLA-DMB";39
"SMKR1";39
"DDX3Y";39
"RP11-103G8.2";39
"GNGT2";39
"RTKN";39
"NEIL1";39
"POMC";39
"RAB27B";39
"DPYSL2";39
"HAGHL";39
"SMURF2";39
"WIPI1";39
"GSAP";39
"LINC00528";39
"PAPD5";39
"LZTFL1";39
"IL12RB2";39
"CPQ";39
"ABHD17B";39
"FHL3";39
"FAIM";39
"BAALC";39
"CRIM1";39
"HEG1";39
"PRR24";39
"RP11-485G4.2";39
"KLRK1";39
"SFMBT2";39
"LIMK1";39
"ISYNA1";39
"RP11-277L2.4";39
"TANC2";39
"AKAP7";39
"AP1S3";39
"ST3GAL4";39
"RP11-403I13.8";39
"IRF2BPL";39
"TGFA";39
"MEX3C";39
"MIB2";39
"AP000476.1";39
"SERPINI1";39
"GALNT3";39
"ACTB";40
"DTHD1";40
"COTL1";40
"ACTG1";40
"NEAT1";40
"CCND2";40
"FCRL3";40
"STX11";40
"FAM46C";40
"LDLR";40
"NDFIP2";40
"ACP5";40
"APOBEC3C";40
"ITGA4";40
"GLUD1";40
"GPR82";40
"BCL2L1";40
"SH2D1A";40
"PYHIN1";40
"RP11-94L15.2";40
"GCNT1";40
"MICAL2";40
"SH2D2A";40
"ATP5EP2";40
"KDM2B";40
"AF131217.1";40
"DZIP3";40
"MYO1G";40
"ABI3";40
"NEDD9";40
"GLCCI1";40
"IKZF3";40
"ITGB2";40
"SMC6";40
"GLIPR1";40
"SAMD9L";40
"CBLB";40
"SLFN5";40
"SETBP1";40
"ATG2A";40
"ATAD2";40
"SLC27A2";40
"CNN2";40
"JAZF1";40
"GCHFR";40
"ACTN4";40
"CTNNA1";40
"E2F3";40
"TAP1";40
"IDI1";40
"FBXO2";40
"ACOT9";40
"TMEM140";40
"PGAP1";41
"KIAA0101";41
"TK1";41
"DUOX1";41
"NME1";41
"HMGB3";41
"FILIP1L";41
"ORC6";41
"CMSS1";41
"PALLD";41
"TMA16";41
"KRT18";41
"ALAS1";41
"CENPK";41
"CLSPN";41
"SRM";41
"OPA3";41
"BTBD7";41
"CCDC50";41
"CENPU";41
"KIAA0020";41
"PAICS";41
"RIOK1";41
"PHF6";41
"RPF2";41
"GPATCH4";41
"CYB561A3";41
"PAK1IP1";41
"METTL1";41
"ASF1B";41
"MRTO4";41
"CCDC171";41
"PHLDB1";41
"SDF2L1";41
"WDR60";41
"CCSER1";41
"SMIM1";41
"NOP16";41
"WDR3";41
"RAB34";41
"ELF3";41
"WDR43";41
"UBFD1";41
"RNF141";41
"CTB-58E17.1";41
"TSTD2";41
"GALNT7";41
"PUS7";41
"ANKDD1A";41
"CEP57L1";41
"P4HA1";41
"AC092580.3";41
"TUBA1C";41
"DCTPP1";41
"TMEM5";41
"TP53I3";41
"RSPH3";41
"DKC1";41
"RAB3GAP1";41
"ZNF613";41
"SEH1L";41
"DEAF1";41
"HMGXB4";41
"CD3EAP";41
"BZW2";41
"UBAP2";41
"IPO7";41
"XYLT1";41
"LRRC34";41
"VSIG10";41
"ATAD3A";41
"BRD8";41
"MED19";41
"PTPN11";41
"WDR12";41
"IMPACT";41
"MORN2";41
"GCSH";41
"SNX21";41
"GSTM4";41
"NOLC1";41
"CECR5";41
"NLRP3";42
"MILR1";42
"MID1IP1";42
"NSUN6";42
"MLF1";42
"LINC00309";42
"AC116366.6";42
"ZNF703";42
"HIST1H2AE";42
"TRAM2";42
"ETV3";42
"OSBPL10";42
"LL22NC03-2H8.5";42
"ZNF165";42
"TSC22D2";42
"ARHGEF40";42
"RNASE6";42
"RP11-390B4.5";42
"RP4-549L20.3";42
"HIST1H2BG";42
"BAIAP2";42
"CTH";42
"TMEM67";42
"SNAPC1";42
"LARP1B";42
"ABCA1";42
"OTUD1";42
"CYB5D1";42
"NET1";42
"CSPP1";42
"HIST1H2BD";42
"NOTCH4";42
"FNIP2";42
"NAF1";42
"CYTH3";42
"LAIR1";42
"SPATA6";42
"MEPCE";42
"EXOC6";42
"SPEF2";42
"DYRK3";42
"EPOR";42
"ZBTB44";42
"RMDN2";42
"USP46";42
"NLN";42
"METTL12";42
"Y-RNA";42
"USP53";42
"N4BP2";42
"KMT2E-AS1";42
"YTHDF3-AS1";42
"TNFRSF12A";42
"HIST1H3D";42
"PROCA1";42
"RP11-134P9.3";42
"TSPYL4";42
"CCSAP";42
"AFMID";42
"RNF144A";42
"MAPRE3";42
"CTD-2410N18.3";42
"C10orf111";42
"PDS5B";42
"C12orf68";42
"RP1-244F24.1";42
"PLD6";42
"CREG1";42
"HYOU1";42
"TPST1";42
"PARD6A";42
"JAG2";42
"EVA1C";42
"RP11-467D6.1";42
"TFDP2";43
"RAB9A";43
"GLUL";43
"PLK2";43
"IRF4";43
"IRF7";43
"GPR68";43
"FAM46A";43
"GOLIM4";43
"PLSCR1";43
"MIR181A1HG";43
"TCTN3";43
"IL18";43
"HOXA10";43
"ZFHX3";43
"PRPF6";43
"PHTF1";43
"DCAF11";43
"HIPK2";43
"DENND3";43
"MGST2";43
"PPP1R3B";43
"BAZ2B";43
"ENG";43
"TSPAN13";43
"FUCA1";43
"OGFRL1";43
"ZBED4";43
"MIS18BP1";43
"SLC44A1";43
"PAWR";43
"KDM5B";43
"B4GALT5";43
"NREP";43
"UBE2F";43
"PLXNC1";43
"GNAQ";43
"ATP10D";43
"RAB37";43
"ADAM10";43
"FUCA2";43
"PREX1";43
"RHBDF2";43
"RP11-932O9.9";43
"SCCPDH";43
"RANBP17";43
"GDE1";43
"SPTLC2";43
"RNF130";43
"STAP1";43
"APPL1";43
"SMIM14";43
"CNOT2";43
"GALE";43
"CENPF";44
"CHRNA1";44
"ITPRIPL2";44
"SEMA6B";44
"TOP2A";44
"AP000692.10";44
"HTRA1";44
"RP1-191J18.66";44
"AC006129.2";44
"CCDC34";44
"ACRC";44
"RP11-431M7.3";44
"RP11-47A8.5";44
"PPM1N";44
"RP11-22P6.3";44
"RP11-182L21.6";44
"PRDM8";44
"NDUFAF2";44
"CENPE";44
"CTNNAL1";44
"CCR9";44
"GMNN";44
"CENPN";44
"MS4A1";44
"NNT-AS1";44
"TBC1D19";44
"ULK2";44
"CETN3";44
"ESR2";44
"WNT10A";44
"ATAD5";44
"TPX2";44
"HIST1H2BN";44
"POP1";44
"BRCA2";44
"FAM27A";44
"MKI67";44
"RP11-539L10.3";44
"POLD3";44
"LETM2";44
"CEP41";44
"TTF1";44
"AMIGO2";44
"CAB39L";44
"RP11-798M19.6";44
"PAQR3";44
"USP13";44
"FRMD4A";44
"SRFBP1";44
"CLYBL";44
"SWT1";44
"SSX2IP";44
"TLE3";44
"ZCCHC9";44
"C5orf45";44
"RP11-166P13.4";44
"GINS2";44
"CARF";44
"ENOX2";44
"RP11-318A15.2";44
"RBM41";44
"NAP1L5";44
"PTER";44
"RP6-109B7.3";44
"PSAT1";44
"SMPD3";44
"AC004951.6";44
"EMR1";44
"TMEM70";44
"TAF1B";44
"ERCC4";44
"TMEM161B-AS1";44
"RP11-212P7.2";44
"CCDC137";44
"ZBTB8A";44
"SMPDL3A";44
"CAMK2N1";44
"TRMT6";44
"KIAA1407";44
"AC003075.4";44
"CEP76";44
"CTD-3214H19.4";44
"RAB30";44
"CEP44";44
"RWDD2B";44
"DGKE";44
"NAPA-AS1";44
"SLC35E4";44
"TMSB15B";44
"RP11-304L19.5";44
"PRIM1";44
"AP4E1";44
"ZHX1";44
"DBF4B";44
"GIN1";44
"TMEM18";44
"AGGF1";44
"C21orf49";44
"MUC2";44
"RPAP3";44
"GXYLT1";44
"SYCE1L";44
"RP11-140K17.3";44
"IGFLR1";44
"MYEF2";44
"ASAP1";44
"PRKAR1B";44
"OAS3";44
"TRMT10B";44
"KB-1507C5.2";44
"CDYL2";44
"C19orf40";44
"MTIF2";44
"CTD-2302E22.4";44
"MOSPD1";44
"ZNF75D";44
"RP11-111M22.3";44
"CCDC136";44
"ELOVL4";44
"PBX2";44
"C16orf52";44
"PPP1R3E";44
"TRIM73";44
"FAM200A";44
"SREBF2";44
"KLHDC10";44
"FANCD2";44
"AGPAT3";44
"NAB2";44
"ZNF169";44
"CAMK2D";44
"SERAC1";44
"GGCT";44
"NUF2";44
"FAM217B";44
"DCUN1D4";44
"ZNF230";44
"MAP10";44
"RAD18";44
"TRIM14";44
"MYO1C";44
"RPP38";44
"FLVCR1-AS1";44
"SUV39H2";44
"GTF2H2C";44
"PNMA5";44
"USP9Y";44
"TEX10";44
"ZMAT3";44
"CTC-241F20.3";44
"RP11-290C10.1";44
"PGAM5";44
"CEP97";44
"PCED1B";44
"MTG2";44
"MSH6";44
"ZNF780A";44
"TMEM121";44
"FBXO45";44
"TBL1X";44
"C9orf9";44
"RBM19";44
"FLVCR1";44
"SNUPN";44
"MCM6";44
"FAM69A";44
"RNPC3";44
"TMEM244";44
"TCAIM";44
"GRK5";44
"CENPH";44
"KIF1C";44
"PIGM";44
"KNTC1";44
"RAD50";44
"KLHL42";44
"UBAC1";44
"MAP4K4";44
"MIS18A";44
"HABP4";44
"PPP5D1";44
"ATXN7L3";44
"AP001462.6";44
"TEFM";44
"KCNK6";44
"NDC80";44
"GPR113";44
"HDAC4";44
"SNX24";44
"AC009403.2";44
"POC5";44
"KDELC2";44
"SPATS2";44
"C2orf69";44
"RRM1";44
"RUNDC1";44
"CCDC25";44
"MCM3AP-AS1";44
"TLDC1";44
"IKBKE";44
"HIVEP2";44
"NEK3";44
"ENO3";44
"AGL";44
"PET117";44
"CIB2";44
"SMYD4";44
"CHAF1A";44
"PHF19";44
"DLEU1";44
"POLB";44
"TMEM209";44
"C1orf112";44
"L2HGDH";44
"RP1-151F17.1";44
"YEATS4";44
"NUP85";44
"RP11-111M22.2";44
"PLEKHA1";44
"PUS1";44
"SAV1";44
"FAR2";44
"R3HCC1L";44
"CNEP1R1";44
"IL17RA";44
"CTC-523E23.11";44
"RP11-493L12.4";44
"RP11-429E11.3";44
"AIDA";44
"SAMD1";44
"ANK1";44
"ZNF682";44
"INSIG1";45
"P2RY14";45
"PIM1";45
"HIST1H1C";45
"HIST1H2BK";45
"HAPLN3";45
"SMS";45
"MYO9A";45
"CFL2";45
"C14orf182";45
"HMGCS1";45
"CTD-2020K17.1";45
"KPNA2";45
"CDK6";45
"LDHA";45
"GBP4";45
"BCL6";45
"XRCC4";45
"SLC12A2";45
"TUBB";45
"GYG1";45
"UAP1";45
"B3GNT2";45
"EFCAB2";45
"TARS";45
"RELB";45
"NFE2L3";45
"ZNF580";45
"NFKB2";45
"GFI1";45
"GALNT1";45
"EZH2";45
"TSPAN17";45
"UEVLD";45
"ITGB7";45
"SRGAP2";45
"FAM63B";45
"TDG";45
"POR";45
"GBP7";45
"SAMD10";45
"MAP2K3";45
"PPP2R5A";45
"CHST11";45
"TARSL2";45
"FLNA";45
"RFTN1";45
"BRD3";45
"NEK7";45
"TBC1D17";45
"ACOT7";45
"CALR";45
"CHP1";45
"PIGT";45
"ABI2";45
"ADCK3";45
"TAF13";45
"CHD4";45
"HTATSF1";45
"ESYT2";45
"AP3D1";45
"SHMT2";45
"SMEK1";45
"VDAC1";45
"CUL3";45
"VRK2";45
"HSD17B4";45
"ARHGEF7";45
"HDLBP";45
"RP11-469M7.1";45
"EIF2AK2";45
"TMX3";45
"SIPA1L1";45
"PWP1";45
"TBL1XR1";45
"HADH";45
"WRN";45
"HOOK3";45
"NEK1";45
"CLCN3";45
"NUDT4";45
"PHF21A";45
"STRN3";45
"MAPKAPK2";45
"SMARCA2";45
"SLC20A1";45
"ZNF217";45
"ADNP";45
"SLK";45
"BTN2A2";45
"CRY1";45
"PLIN3";45
"ANKRD10";45
"MAF";46
"PIM2";46
"PTP4A3";46
"CLEC7A";46
"CD59";46
"PHACTR2";46
"UCP2";46
"TFRC";46
"GPX1";46
"SNX9";46
"CD82";46
"MAST4";46
"VMP1";46
"ZNRF1";46
"PBXIP1";46
"SPOCK2";46
"PELI1";46
"PHTF2";46
"NABP1";46
"CAMK1";46
"NCF4";46
"DUSP16";46
"TLK1";46
"COX6A2";47
"SERPINE2";47
"ZNF571";47
"KLHL23";47
"RP11-407N17.5";47
"ZNF571-AS1";47
"IRF9";47
"CEP290";47
"WEE1";47
"ZDHHC14";47
"HMOX1";47
"HIST1H2BC";47
"SMC2";47
"RP11-277P12.20";47
"GALNT6";47
"KIAA1377";47
"MYO6";47
"ARID3A";47
"RP11-446N19.1";47
"MAP7D3";47
"HIST1H1E";47
"AC009404.2";47
"GTF3C1";47
"ANGPT2";47
"RBM38";47
"BPGM";47
"CEP78";47
"ZNF250";47
"UTP11L";47
"KIF13B";47
"STAG3";47
"SLFN12";47
"FADS1";47
"ZBTB43";47
"ZNF827";47
"MAGIX";47
"HDAC7";47
"SYNGR3";47
"SLC35E1";47
"DNAJC24";47
"C17orf107";47
"LRRCC1";47
"JAKMIP2";47
"ZSCAN31";47
"HIST1H4H";47
"APC";47
"SERTAD3";47
"IFT88";47
"ETS2";47
"CDIP1";47
"EPHA4";47
"LCORL";47
"EEA1";47
"FUT11";47
"VIM-AS1";47
"TOP2B";47
"ZNF808";47
"DMKN";47
"PHLPP1";47
"CLDN7";47
"ANKIB1";47
"ZCCHC4";47
"USP11";47
"HSD17B1";47
"ANKRD42";47
"UBBP4";47
"AK9";47
"ZNF528";47
"FANCA";47
"LPP";47
"GOLGA2";47
"TMEM192";47
"PPFIA1";47
"SFXN3";47
"STK32C";47
"XAF1";47
"APOBEC3F";47
"GALNT2";47
"LRIF1";47
"RDH13";47
"CKS1B";47
"RCN1";47
"NCOA1";47
"AP4M1";47
"ECI2";47
"PPIP5K2";47
"TPT1-AS1";47
"NAA16";47
"ITPRIP";47
"ADHFE1";47
"DIEXF";47
"C5orf42";47
"HGSNAT";47
"NF1";47
"GTDC1";47
"JADE1";47
"PLCL2";47
"RABL2B";47
"RASGEF1A";47
"RP11-16E12.1";47
"RP11-386G11.5";47
"P2RX7";47
"PGRMC2";47
"FAM228B";47
"C4orf33";47
"CALCOCO1";47
"ISG20L2";47
"ST3GAL2";47
"FMR1";47
"TET2";47
"SPG11";47
"PRR7-AS1";48
"C16orf54";48
"SC5D";48
"KCNQ1OT1";48
"TKTL1";48
"MMEL1";48
"CRIP2";48
"HIST1H1D";48
"SDR42E2";48
"RP11-796E2.4";48
"NSG1";48
"XXbac-BPG299F13.17";48
"SH2D3A";48
"GABPB2";48
"CCDC64";48
"GNB5";48
"GPATCH11";48
"FAM211A";48
"SORL1";48
"ADORA2A-AS1";48
"SYT5";48
"LYRM7";48
"SLC25A37";48
"NANS";48
"METTL20";48
"COL18A1";48
"FAM184B";48
"NUAK2";48
"RP5-821D11.7";48
"P2RY8";48
"RP11-727F15.9";48
"MAN1C1";48
"RPL34-AS1";48
"RP11-6J24.6";48
"SLC8B1";48
"HHLA3";48
"ATP6V1E2";48
"RASSF3";48
"ZC3H6";48
"CEP19";48
"ATP8A2";48
"UBXN11";48
"SYNJ2";48
"BAG3";48
