"";"x"
"GADD45G";7
"MIR155HG";7
"PHLDA1";7
"CREM";7
"FTH1";7
"CCR6";7
"GADD45A";7
"ICOS";7
"BIRC3";7
"RBPJ";7
"IL26";7
"ADAM19";7
"RP11-403A21.2";7
"IFI44L";7
"CPNE7";7
"AMICA1";7
"RUNX2";7
"ERN1";7
"TP53INP1";7
"DPP4";7
"RILPL2";7
"CCNG2";7
"MDFIC";7
"C4orf32";7
"PLAT";7
"MCAM";7
"TMPRSS3";7
"TBXAS1";7
"IL17RE";7
"IFI44";7
"TMED8";7
"SMAP2";7
"CHD7";7
"HMHB1";7
"MYO7A";7
"MAN1A1";7
"MGAT4A";7
"KDSR";7
"ELK3";7
"GGT1";7
"NR1D2";7
"TNFSF12";7
"CERK";7
"BCL3";7
"CDC14A";7
"ODF2L";7
"MGAT5";7
"ATP2B1";7
"RNF207";7
"GNLY";8
"XCL1";8
"XCL2";8
"KLRC1";8
"CEBPD";8
"FCER1G";8
"TYROBP";8
"HAVCR2";8
"CTSW";8
"SPTSSB";8
"IFITM3";8
"CAPG";8
"LINC00996";8
"TMIGD2";8
"GSTP1";8
"ZBTB16";8
"TXK";8
"PLAC8";8
"FAM3C";8
"LAT2";8
"PTGDR";8
"SH2D1B";8
"CD63";8
"ITGAX";8
"CD300A";8
"NCAM1";8
"STARD3NL";8
"CXXC5";8
"CAPN12";8
"IFITM2";8
"ADAM28";8
"HVCN1";8
"NCR1";8
"TTC38";8
"CTBP2";8
"SYK";8
"LYN";8
"ABCB1";8
"TSPAN32";8
"TIE1";8
"SNX10";8
"PLCG2";8
"SWAP70";8
"PTPN12";8
"RP11-326C3.15";8
"CATSPER1";8
"IFITM1";8
"RNF165";8
"C11orf21";8
"PIK3AP1";8
"RP11-473M20.7";8
"RIN3";8
"CNR2";8
"APOBR";8
"IL10";9
"LAG3";9
"IL2RA";9
"AC017002.1";9
"MIR4435-1HG";9
"ACTG2";9
"SAT1";9
"DUSP4";9
"TNFRSF9";9
"PMAIP1";9
"IL1R2";9
"CTLA4";9
"ICA1";9
"BATF";9
"RTKN2";9
"EBI3";9
"MT2A";9
"LAIR2";9
"IL32";9
"TIGIT";9
"ARID5B";9
"CD70";9
"MAGEH1";9
"LINC00152";9
"TBC1D4";9
"AC002331.1";9
"TNFRSF1B";9
"CORO1B";9
"TNIP3";9
"FOXP3";9
"GNG8";9
"ADTRP";9
"FRMD4B";9
"LGMN";9
"CADM1";9
"CEBPA";9
"CTSC";9
"TYMP";9
"ANKS1B";9
"RP11-214O1.3";9
"MT1E";9
"CSF1";9
"ZBTB32";9
"UGP2";9
"AC145110.1";9
"METTL8";9
"TRIB1";9
"TNFRSF13B";9
"ATP1B1";9
"CUL9";9
"ZC3H12D";9
"FANK1";9
"IFI6";9
"PTGIR";9
"CEP55";9
"GALM";9
"ZC2HC1A";9
"GK";9
"TRPS1";9
"LIMS1";9
"SLAMF1";9
"CARD16";9
"NAMPT";9
"APOLD1";9
"BTG3";9
"AC074289.1";9
"IL6R";9
"CD4";9
"CENPM";9
"LRRC32";9
"NAB1";9
"POU2F2";9
"OAS1";9
"SPATS2L";9
"F5";9
"TMSB10";9
"NINJ2";9
"ADAM12";9
"EPSTI1";9
"LIMA1";9
"CDKN2A";9
"DNPH1";9
"FAM184A";9
"CD28";9
"DLGAP1";9
"FAS";9
"ASB2";9
"CTSB";9
"HS3ST3B1";9
"CARD17";9
"TRIB2";9
"MYO5C";9
"KIF20B";9
"PTTG1";9
"CCR8";9
"HNRNPLL";9
"MZB1";9
"CCR4";9
"HOXB2";9
"SLC16A1";9
"NETO2";9
"ETV7";9
"TBC1D8";9
"CDKL2";9
"C15orf53";9
"GLRX";9
"PMVK";9
"AIM2";9
"CD79B";9
"FAM53B";9
"CD2";9
"RPS27L";9
"ADAT2";9
"HOXB-AS1";9
"ACP6";9
"RP11-803D5.4";9
"ACTA2";9
"PBX4";9
"MYO5A";9
"DLGAP1-AS1";9
"C16orf87";9
"AKIP1";9
"TPR";9
"CACYBP";9
"RASGRP1";9
"BFSP2";9
"MCF2L2";9
"IL7";9
"KCNN4";9
"CCDC167";9
"TMEM60";9
"GRPEL2";9
"LINC00910";10
"RP11-386I14.4";10
"TMEM107";10
"WDR74";10
"RNU12";10
"SNORD3D";10
"SNORD3B-2";10
"PTCH2";10
"RP13-516M14.4";10
"CTD-3203P2.2";10
"ITPR1";10
"ILF3-AS1";10
"SNORD3B-1";10
"LINC00936";10
"SNORD3A";10
"YME1L1";10
"DKFZP434E1119";10
"COQ7";10
"ZBTB10";10
"MLLT11";10
"HIST1H4A";10
"RP11-1000B6.3";10
"RP4-673M15.1";10
"RP11-191L17.1";10
